,book,DE_audio,EN_audio,score,DE_transcript,EN_transcript
0,67.frankenstein_de_1211_librivox,00003-frankenstein_0.flac,00003-f000002,0.86087,"Frau Saville, London.7. Juli","To Mrs. Saville, England."
1,67.frankenstein_de_1211_librivox,00003-frankenstein_2.flac,00003-f000005,0.7389399999999999,"Ich schreibe Dir in aller Eile, um Dich wissen zu lassen, daß ich wohlauf bin und daß ich schon ein Stück meiner Reise hinter mir habe.",But I have one want which I have never yet been able to satisfy; and the absence of the object of which I now feel as a most severe evil.
2,67.frankenstein_de_1211_librivox,00003-frankenstein_3.flac,00003-f000009,0.28125,Diesen Brief wird ein Kaufmann von Archangel aus nach England mitbringen.,"You may deem me romantic, my dear sister, but I bitterly feel the want of a friend."
3,67.frankenstein_de_1211_librivox,00003-frankenstein_4.flac,00003-f000007,-0.016875,Der Glückliche!,"<MERGE> I shall commit my thoughts to paper, it is true; but that is a poor medium for the communication of feeling."
4,67.frankenstein_de_1211_librivox,00003-frankenstein_5.flac,00003-f000008,0.4635,"Er kann wieder Heimatluft atmen, was mir vielleicht auf Jahre hinaus nicht vergönnt sein wird.",I desire the company of a man who could sympathize with me; whose eyes would reply to mine.
5,67.frankenstein_de_1211_librivox,00003-frankenstein_6.flac,00003-f000011,0.511111,Trotzdem bin ich bester Laune.,How would such a friend repair the faults of your poor brother!
6,67.frankenstein_de_1211_librivox,00003-frankenstein_7.flac,00003-f000016,0.69179,"Meine Leute sind kühn und offenbar zu allem willig; auch die schwimmenden Eisberge, die unaufhörlich an uns vorbeiziehen und uns die Gefahren vorausahnen lassen, denen wir entgegengehen, scheinen ihnen keine Sorge einzuflößen.","It is true that I have thought more, and that my day dreams are more extended and magnificent; but they want as the painters call it keeping; and I greatly need a friend who would have sense enough not to despise me as romantic, and affection enough for me to endeavour to regulate my mind."
7,67.frankenstein_de_1211_librivox,00003-frankenstein_8.flac,00003-f000016,0.793534,"Wir haben schon eine hohe nördliche Breite erreicht, aber es ist Hochsommer, und wenn es auch nicht ganz so warm ist wie in England, so tragen uns doch die Südwinde, indem sie uns dem heißersehnten Ziele näherbringen, eine wohltuende Wärme zu, wie ich sie nicht erwartet hätte.","It is true that I have thought more, and that my day dreams are more extended and magnificent; but they want as the painters call it keeping; and I greatly need a friend who would have sense enough not to despise me as romantic, and affection enough for me to endeavour to regulate my mind."
8,67.frankenstein_de_1211_librivox,00003-frankenstein_9.flac,00003-f000017,0.7241380000000001,"Bisher hat sich noch nichts ereignet, was der Mitteilung wert wäre.","Well, these are useless complaints; I shall certainly find no friend on the wide ocean, nor even here in Archangel, among merchants and seamen."
9,67.frankenstein_de_1211_librivox,00003-frankenstein_11.flac,00003-f000030,0.204,"Lebe Wohl, teure Margarete.",What a noble fellow! you will exclaim.
10,67.frankenstein_de_1211_librivox,00003-frankenstein_12.flac,00003-f000032,0.790805,"Sei überzeugt, daß ich um Deinet wie um meinetwillen mich nicht allzu kühn der Gefahr aussetzen werde.","But do not suppose that, because I complain a little, or because I can conceive a consolation for my toils which I may never know, that I am wavering in my resolutions."
11,67.frankenstein_de_1211_librivox,00003-frankenstein_13.flac,00003-f000030,0.565909,"Ich will kaltblütig, überlegt und vernünftig sein.",What a noble fellow! you will exclaim.
12,67.frankenstein_de_1211_librivox,00003-frankenstein_14.flac,00003-f000036,0.35625,Aber der Erfolg muß mein Werk krönen.,I cannot describe to you my sensations on the near prospect of my undertaking.
13,67.frankenstein_de_1211_librivox,00003-frankenstein_16.flac,00003-f000032,0.718605,So weit bin ich nun gekommen über die pfadlose See; nur die Sterne am Himmel sind Zeugen meines Sieges.,"But do not suppose that, because I complain a little, or because I can conceive a consolation for my toils which I may never know, that I am wavering in my resolutions."
14,67.frankenstein_de_1211_librivox,00003-frankenstein_17.flac,00003-f000038,1.0,"Warum soll ich nicht noch weiter fortschreiten auf dem ungezähmten, aber doch zähmbaren Element?","I am going to unexplored regions, to the land of mist and snow; but I shall kill no albatross, therefore do not be alarmed for my safety."
15,67.frankenstein_de_1211_librivox,00003-frankenstein_18.flac,00003-f000039,0.448269,"Was wäre imstande, sich auf die Dauer dem mutigen, willensstarken Manne entgegenzustellen?","Shall I meet you again, after having traversed immense seas, and returned by the most southern cape of Africa or America?"
16,67.frankenstein_de_1211_librivox,00003-frankenstein_19.flac,00003-f000040,0.659184,"Mein Herz ist zu voll, als daß es nicht überlaufen sollte.","I dare not expect such success, yet I cannot bear to look on the reverse of the picture."
17,67.frankenstein_de_1211_librivox,00003-frankenstein_20.flac,00003-f000042,0.8857139999999999,Aber ich muß schließen.,I love you very tenderly.
18,67.frankenstein_de_1211_librivox,00003-frankenstein_21.flac,00003-f000043,0.05,"Gott sei mit Dir, liebe Schwester!","Remember me with affection, should you never hear from me again."
19,67.frankenstein_de_1211_librivox,00003-frankenstein_22.flac,00003-f000044,1.78571,Robert Walton.,"Your affectionate brother, Robert Walton."
